Time	ECG	Heart Rate
202.3	-0.0124857	79.4702
202.305	-0.0146067	79.4702
202.31	-0.0178637	79.4702
202.315	-0.0207435	79.4702
202.32	-0.0238504	79.4702
202.325	-0.0265219	79.4702
202.33	-0.0265816	79.4702
202.335	-0.0259751	79.4702
202.34	-0.027796	79.4702
202.345	-0.0304231	79.4702
202.35	-0.0324979	79.4702
202.355	-0.0353128	79.4702
202.36	-0.0382937	79.4702
202.365	-0.0405794	79.4702
202.37	-0.0437851	79.4702
202.375	-0.0472531	79.4702
202.38	-0.0482217	79.4702
202.385	-0.0477219	79.4702
202.39	-0.047764	79.4702
202.395	-0.0466368	79.4702
202.4	-0.0440358	79.4702
202.405	-0.0430847	79.4702
202.41	-0.0442226	79.4702
202.415	-0.0447824	79.4702
202.42	-0.0436708	79.4702
202.425	-0.0388574	79.4702
202.43	-0.0267894	79.4702
202.435	-0.00924027	79.4702
202.44	0.00993811	79.4702
202.445	0.0320592	79.4702
202.45	0.0572434	79.4702
202.455	0.0797485	79.4702
202.46	0.0951542	79.4702
202.465	0.102305	79.4702
202.47	0.0992596	79.4702
202.475	0.085284	79.4702
202.48	0.0633082	79.4702
202.485	0.0357678	79.4702
202.49	0.00459515	79.4702
202.495	-0.0251893	79.4702
202.5	-0.0509439	79.4702
202.505	-0.0744393	79.4702
202.51	-0.0942913	79.4702
202.515	-0.107029	79.4702
202.52	-0.113155	79.4702
202.525	-0.114753	79.4702
202.53	-0.112357	79.4702
202.535	-0.108053	79.4702
202.54	-0.105379	79.4702
202.545	-0.105965	79.4702
202.55	-0.112841	79.4702
202.555	-0.12669	79.4702
202.56	-0.133824	79.4702
202.565	-0.105305	79.4702
202.57	-0.0119738	79.4702
202.575	0.163584	79.4702
202.58	0.416358	79.4702
202.585	0.693577	79.4702
202.59	0.910131	79.4702
202.595	1.00755	75.4717
202.6	0.976941	75.4717
202.605	0.84584	75.4717
202.61	0.66168	75.4717
202.615	0.470862	75.4717
202.62	0.302596	75.4717
202.625	0.170184	75.4717
202.63	0.0767977	75.4717
202.635	0.0159651	75.4717
202.64	-0.0227025	75.4717
202.645	-0.0457188	75.4717
202.65	-0.0578388	75.4717
202.655	-0.0645463	75.4717
202.66	-0.0679562	75.4717
202.665	-0.068119	75.4717
202.67	-0.0676405	75.4717
202.675	-0.0680971	75.4717
202.68	-0.067438	75.4717
202.685	-0.0647844	75.4717
202.69	-0.0601697	75.4717
202.695	-0.0520918	75.4717
202.7	-0.0419319	75.4717
202.705	-0.0348186	75.4717
202.71	-0.0321476	75.4717
202.715	-0.0321486	75.4717
202.72	-0.0346789	75.4717
202.725	-0.0375885	75.4717
202.73	-0.0367171	75.4717
202.735	-0.032324	75.4717
202.74	-0.0271792	75.4717
202.745	-0.0204321	75.4717
202.75	-0.0108298	75.4717
202.755	0.000471688	75.4717
202.76	0.0144715	75.4717
202.765	0.0324358	75.4717
202.77	0.0512654	75.4717
202.775	0.0692485	75.4717
202.78	0.0889948	75.4717
202.785	0.111262	75.4717
202.79	0.135221	75.4717
202.795	0.162281	75.4717
202.8	0.192627	75.4717
202.805	0.222699	75.4717
202.81	0.250593	75.4717
202.815	0.277027	75.4717
202.82	0.30167	75.4717
202.825	0.324774	75.4717
202.83	0.346844	75.4717
202.835	0.364709	75.4717
202.84	0.374752	75.4717
202.845	0.377439	75.4717
202.85	0.372612	75.4717
202.855	0.357625	75.4717
202.86	0.33336	75.4717
202.865	0.303107	75.4717
202.87	0.267903	75.4717
202.875	0.229712	75.4717
202.88	0.192637	75.4717
202.885	0.157756	75.4717
202.89	0.124061	75.4717
202.895	0.0936812	75.4717
202.9	0.0681675	75.4717
202.905	0.0459223	75.4717
202.91	0.0279388	75.4717
202.915	0.0165997	75.4717
202.92	0.0103678	75.4717
202.925	0.00691763	75.4717
202.93	0.00610699	75.4717
202.935	0.00628451	75.4717
202.94	0.00606453	75.4717
202.945	0.00702858	75.4717
202.95	0.00914313	75.4717
202.955	0.00962069	75.4717
202.96	0.00878566	75.4717
202.965	0.00889052	75.4717
202.97	0.00952389	75.4717
202.975	0.0106031	75.4717
202.98	0.013234	75.4717
202.985	0.0151644	75.4717
202.99	0.0132518	75.4717
202.995	0.00875894	75.4717
203	0.00369674	75.4717
203.005	-0.00252721	75.4717
203.01	-0.00841271	75.4717
203.015	-0.0117341	75.4717
203.02	-0.0142812	75.4717
203.025	-0.0170097	75.4717
203.03	-0.0182421	75.4717
